request_number,industry
1,"Elektrotechnik, Elektronik, Telekommunikation, IT"
2,"Elektrotechnik, Elektronik, Telekommunikation, IT"
3,"Elektrotechnik, Elektronik, Telekommunikation, IT"
4,"Elektrotechnik, Elektronik, Telekommunikation, IT"
5,"Elektrotechnik, Elektronik, Telekommunikation, IT"
6,"Büro, Marketing, Finanz, Recht, Sicherheit"
7,"Elektrotechnik, Elektronik, Telekommunikation, IT"
8,"Elektrotechnik, Elektronik, Telekommunikation, IT"
9,"Elektrotechnik, Elektronik, Telekommunikation, IT"
10,"Elektrotechnik, Elektronik, Telekommunikation, IT"
11,"Elektrotechnik, Elektronik, Telekommunikation, IT"
12,"Elektrotechnik, Elektronik, Telekommunikation, IT"
13,"Elektrotechnik, Elektronik, Telekommunikation, IT"
14,"Elektrotechnik, Elektronik, Telekommunikation, IT"
15,"Soziales, Gesundheit, Schönheitspflege"
16,"Elektrotechnik, Elektronik, Telekommunikation, IT"
17,"Elektrotechnik, Elektronik, Telekommunikation, IT"
18,"Elektrotechnik, Elektronik, Telekommunikation, IT"
19,"Elektrotechnik, Elektronik, Telekommunikation, IT"
20,"Elektrotechnik, Elektronik, Telekommunikation, IT"
21,"Elektrotechnik, Elektronik, Telekommunikation, IT"
22,"Elektrotechnik, Elektronik, Telekommunikation, IT"
23,"Elektrotechnik, Elektronik, Telekommunikation, IT"
24,"Elektrotechnik, Elektronik, Telekommunikation, IT"
25,"Elektrotechnik, Elektronik, Telekommunikation, IT"
26,"Elektrotechnik, Elektronik, Telekommunikation, IT"
27,"Elektrotechnik, Elektronik, Telekommunikation, IT"
28,"Elektrotechnik, Elektronik, Telekommunikation, IT"
29,"Elektrotechnik, Elektronik, Telekommunikation, IT"
30,"Elektrotechnik, Elektronik, Telekommunikation, IT"
31,"Elektrotechnik, Elektronik, Telekommunikation, IT"
32,"Elektrotechnik, Elektronik, Telekommunikation, IT"
33,"Elektrotechnik, Elektronik, Telekommunikation, IT"
34,"Elektrotechnik, Elektronik, Telekommunikation, IT"
35,"Elektrotechnik, Elektronik, Telekommunikation, IT"
36,"Elektrotechnik, Elektronik, Telekommunikation, IT"
37,"Elektrotechnik, Elektronik, Telekommunikation, IT"
38,"Elektrotechnik, Elektronik, Telekommunikation, IT"
39,"Elektrotechnik, Elektronik, Telekommunikation, IT"
40,"Elektrotechnik, Elektronik, Telekommunikation, IT"
41,"Elektrotechnik, Elektronik, Telekommunikation, IT"
42,"Elektrotechnik, Elektronik, Telekommunikation, IT"
43,"Elektrotechnik, Elektronik, Telekommunikation, IT"
44,"Elektrotechnik, Elektronik, Telekommunikation, IT"
45,"Elektrotechnik, Elektronik, Telekommunikation, IT"
46,"Elektrotechnik, Elektronik, Telekommunikation, IT"
47,"Elektrotechnik, Elektronik, Telekommunikation, IT"
48,"Elektrotechnik, Elektronik, Telekommunikation, IT"
49,"Elektrotechnik, Elektronik, Telekommunikation, IT"
50,"Elektrotechnik, Elektronik, Telekommunikation, IT"
51,"Wissenschaft, Bildung, Forschung und Entwicklung"
52,"Elektrotechnik, Elektronik, Telekommunikation, IT"
53,"Elektrotechnik, Elektronik, Telekommunikation, IT"
54,"Elektrotechnik, Elektronik, Telekommunikation, IT"
55,"Elektrotechnik, Elektronik, Telekommunikation, IT"
56,"Elektrotechnik, Elektronik, Telekommunikation, IT"
57,"Elektrotechnik, Elektronik, Telekommunikation, IT"
58,"Elektrotechnik, Elektronik, Telekommunikation, IT"
59,"Elektrotechnik, Elektronik, Telekommunikation, IT"
60,"Elektrotechnik, Elektronik, Telekommunikation, IT"
61,"Elektrotechnik, Elektronik, Telekommunikation, IT"
62,"Elektrotechnik, Elektronik, Telekommunikation, IT"
63,"Maschinenbau, Kfz, Metall"
64,"Elektrotechnik, Elektronik, Telekommunikation, IT"
65,"Elektrotechnik, Elektronik, Telekommunikation, IT"
66,"Elektrotechnik, Elektronik, Telekommunikation, IT"
67,"Elektrotechnik, Elektronik, Telekommunikation, IT"
68,"Elektrotechnik, Elektronik, Telekommunikation, IT"
69,"Elektrotechnik, Elektronik, Telekommunikation, IT"
70,"Elektrotechnik, Elektronik, Telekommunikation, IT"
71,"Elektrotechnik, Elektronik, Telekommunikation, IT"
72,"Elektrotechnik, Elektronik, Telekommunikation, IT"
73,"Elektrotechnik, Elektronik, Telekommunikation, IT"
74,"Elektrotechnik, Elektronik, Telekommunikation, IT"
75,"Elektrotechnik, Elektronik, Telekommunikation, IT"
76,"Elektrotechnik, Elektronik, Telekommunikation, IT"
77,"Elektrotechnik, Elektronik, Telekommunikation, IT"
78,"Elektrotechnik, Elektronik, Telekommunikation, IT"
79,"Elektrotechnik, Elektronik, Telekommunikation, IT"
80,"Elektrotechnik, Elektronik, Telekommunikation, IT"
81,"Elektrotechnik, Elektronik, Telekommunikation, IT"
82,"Elektrotechnik, Elektronik, Telekommunikation, IT"
83,"Büro, Marketing, Finanz, Recht, Sicherheit"
84,"Elektrotechnik, Elektronik, Telekommunikation, IT"
85,"Elektrotechnik, Elektronik, Telekommunikation, IT"
86,"Elektrotechnik, Elektronik, Telekommunikation, IT"
87,"Elektrotechnik, Elektronik, Telekommunikation, IT"
88,"Elektrotechnik, Elektronik, Telekommunikation, IT"
89,"Elektrotechnik, Elektronik, Telekommunikation, IT"
90,"Medien, Grafik, Design, Druck, Kunst, Kunsthandwerk"
92,"Elektrotechnik, Elektronik, Telekommunikation, IT"
94,"Landwirtschaft, Gartenbau, Forstwirtschaft"
95,"Elektrotechnik, Elektronik, Telekommunikation, IT"
96,"Bergbau, Rohstoffe, Glas, Keramik, Stein"
97,"Elektrotechnik, Elektronik, Telekommunikation, IT"
98,"Elektrotechnik, Elektronik, Telekommunikation, IT"
99,"Elektrotechnik, Elektronik, Telekommunikation, IT"
100,"Elektrotechnik, Elektronik, Telekommunikation, IT"
101,"Elektrotechnik, Elektronik, Telekommunikation, IT"
102,"Elektrotechnik, Elektronik, Telekommunikation, IT"
103,"Elektrotechnik, Elektronik, Telekommunikation, IT"
104,"Elektrotechnik, Elektronik, Telekommunikation, IT"
105,"Bergbau, Rohstoffe, Glas, Keramik, Stein"
106,"Elektrotechnik, Elektronik, Telekommunikation, IT"
107,"Elektrotechnik, Elektronik, Telekommunikation, IT"
108,"Elektrotechnik, Elektronik, Telekommunikation, IT"
109,"Elektrotechnik, Elektronik, Telekommunikation, IT"
110,"Bau, Baunebengewerbe, Holz, Gebäudetechnik"
111,"Büro, Marketing, Finanz, Recht, Sicherheit"
112,"Elektrotechnik, Elektronik, Telekommunikation, IT"
113,"Elektrotechnik, Elektronik, Telekommunikation, IT"
114,"Elektrotechnik, Elektronik, Telekommunikation, IT"
115,"Elektrotechnik, Elektronik, Telekommunikation, IT"
116,"Elektrotechnik, Elektronik, Telekommunikation, IT"
117,"Büro, Marketing, Finanz, Recht, Sicherheit"
118,"Elektrotechnik, Elektronik, Telekommunikation, IT"
119,"Elektrotechnik, Elektronik, Telekommunikation, IT"
120,"Wissenschaft, Bildung, Forschung und Entwicklung"
121,"Elektrotechnik, Elektronik, Telekommunikation, IT"
122,"Elektrotechnik, Elektronik, Telekommunikation, IT"
123,"Elektrotechnik, Elektronik, Telekommunikation, IT"
124,"Medien, Grafik, Design, Druck, Kunst, Kunsthandwerk"
125,"Elektrotechnik, Elektronik, Telekommunikation, IT"
126,"Elektrotechnik, Elektronik, Telekommunikation, IT"
127,"Elektrotechnik, Elektronik, Telekommunikation, IT"
128,"Elektrotechnik, Elektronik, Telekommunikation, IT"
129,"Elektrotechnik, Elektronik, Telekommunikation, IT"
130,"Elektrotechnik, Elektronik, Telekommunikation, IT"
131,"Büro, Marketing, Finanz, Recht, Sicherheit"
132,"Elektrotechnik, Elektronik, Telekommunikation, IT"
133,"Elektrotechnik, Elektronik, Telekommunikation, IT"
134,"Elektrotechnik, Elektronik, Telekommunikation, IT"
135,"Elektrotechnik, Elektronik, Telekommunikation, IT"
136,"Elektrotechnik, Elektronik, Telekommunikation, IT"
137,"Elektrotechnik, Elektronik, Telekommunikation, IT"
138,"Elektrotechnik, Elektronik, Telekommunikation, IT"
139,"Elektrotechnik, Elektronik, Telekommunikation, IT"
141,"Elektrotechnik, Elektronik, Telekommunikation, IT"
142,"Elektrotechnik, Elektronik, Telekommunikation, IT"
143,"Elektrotechnik, Elektronik, Telekommunikation, IT"
144,"Elektrotechnik, Elektronik, Telekommunikation, IT"
145,"Elektrotechnik, Elektronik, Telekommunikation, IT"
146,"Elektrotechnik, Elektronik, Telekommunikation, IT"
147,"Elektrotechnik, Elektronik, Telekommunikation, IT"
148,"Bergbau, Rohstoffe, Glas, Keramik, Stein"
149,"Elektrotechnik, Elektronik, Telekommunikation, IT"
150,"Elektrotechnik, Elektronik, Telekommunikation, IT"
151,"Elektrotechnik, Elektronik, Telekommunikation, IT"
152,"Elektrotechnik, Elektronik, Telekommunikation, IT"
153,"Elektrotechnik, Elektronik, Telekommunikation, IT"
154,"Elektrotechnik, Elektronik, Telekommunikation, IT"
155,"Elektrotechnik, Elektronik, Telekommunikation, IT"
156,"Elektrotechnik, Elektronik, Telekommunikation, IT"
157,"Elektrotechnik, Elektronik, Telekommunikation, IT"
158,"Elektrotechnik, Elektronik, Telekommunikation, IT"
159,"Elektrotechnik, Elektronik, Telekommunikation, IT"
160,"Elektrotechnik, Elektronik, Telekommunikation, IT"
161,"Elektrotechnik, Elektronik, Telekommunikation, IT"
162,"Elektrotechnik, Elektronik, Telekommunikation, IT"
163,"Elektrotechnik, Elektronik, Telekommunikation, IT"
164,"Elektrotechnik, Elektronik, Telekommunikation, IT"
165,"Elektrotechnik, Elektronik, Telekommunikation, IT"
166,"Wissenschaft, Bildung, Forschung und Entwicklung"
167,"Elektrotechnik, Elektronik, Telekommunikation, IT"
168,"Reinigung, Hausbetreuung, Anlern- und Hilfsberufe"
169,"Elektrotechnik, Elektronik, Telekommunikation, IT"
170,"Elektrotechnik, Elektronik, Telekommunikation, IT"
171,"Elektrotechnik, Elektronik, Telekommunikation, IT"
172,"Elektrotechnik, Elektronik, Telekommunikation, IT"
173,"Elektrotechnik, Elektronik, Telekommunikation, IT"
174,"Elektrotechnik, Elektronik, Telekommunikation, IT"
175,"Elektrotechnik, Elektronik, Telekommunikation, IT"
176,"Elektrotechnik, Elektronik, Telekommunikation, IT"
177,"Elektrotechnik, Elektronik, Telekommunikation, IT"
178,"Elektrotechnik, Elektronik, Telekommunikation, IT"
179,"Elektrotechnik, Elektronik, Telekommunikation, IT"
180,"Elektrotechnik, Elektronik, Telekommunikation, IT"
181,"Elektrotechnik, Elektronik, Telekommunikation, IT"
182,"Elektrotechnik, Elektronik, Telekommunikation, IT"
183,"Elektrotechnik, Elektronik, Telekommunikation, IT"
184,"Elektrotechnik, Elektronik, Telekommunikation, IT"
185,"Elektrotechnik, Elektronik, Telekommunikation, IT"
186,"Elektrotechnik, Elektronik, Telekommunikation, IT"
187,"Elektrotechnik, Elektronik, Telekommunikation, IT"
188,"Textil und Bekleidung, Mode, Leder"
189,"Elektrotechnik, Elektronik, Telekommunikation, IT"
190,"Elektrotechnik, Elektronik, Telekommunikation, IT"
191,"Elektrotechnik, Elektronik, Telekommunikation, IT"
192,"Elektrotechnik, Elektronik, Telekommunikation, IT"
193,"Elektrotechnik, Elektronik, Telekommunikation, IT"
194,"Elektrotechnik, Elektronik, Telekommunikation, IT"
195,"Elektrotechnik, Elektronik, Telekommunikation, IT"
196,"Elektrotechnik, Elektronik, Telekommunikation, IT"
197,"Elektrotechnik, Elektronik, Telekommunikation, IT"
198,"Elektrotechnik, Elektronik, Telekommunikation, IT"
199,"Elektrotechnik, Elektronik, Telekommunikation, IT"
200,"Elektrotechnik, Elektronik, Telekommunikation, IT"
201,"Elektrotechnik, Elektronik, Telekommunikation, IT"
202,"Elektrotechnik, Elektronik, Telekommunikation, IT"
203,"Elektrotechnik, Elektronik, Telekommunikation, IT"
204,"Wissenschaft, Bildung, Forschung und Entwicklung"
205,"Elektrotechnik, Elektronik, Telekommunikation, IT"
206,"Elektrotechnik, Elektronik, Telekommunikation, IT"
207,"Elektrotechnik, Elektronik, Telekommunikation, IT"
208,"Elektrotechnik, Elektronik, Telekommunikation, IT"
209,"Elektrotechnik, Elektronik, Telekommunikation, IT"
210,"Elektrotechnik, Elektronik, Telekommunikation, IT"
211,"Elektrotechnik, Elektronik, Telekommunikation, IT"
212,"Elektrotechnik, Elektronik, Telekommunikation, IT"
213,"Elektrotechnik, Elektronik, Telekommunikation, IT"
214,"Elektrotechnik, Elektronik, Telekommunikation, IT"
215,"Elektrotechnik, Elektronik, Telekommunikation, IT"
216,"Elektrotechnik, Elektronik, Telekommunikation, IT"
217,"Elektrotechnik, Elektronik, Telekommunikation, IT"
218,"Elektrotechnik, Elektronik, Telekommunikation, IT"
219,"Elektrotechnik, Elektronik, Telekommunikation, IT"
220,"Elektrotechnik, Elektronik, Telekommunikation, IT"
221,"Elektrotechnik, Elektronik, Telekommunikation, IT"
222,"Elektrotechnik, Elektronik, Telekommunikation, IT"
223,"Elektrotechnik, Elektronik, Telekommunikation, IT"
225,"Elektrotechnik, Elektronik, Telekommunikation, IT"
226,"Reinigung, Hausbetreuung, Anlern- und Hilfsberufe"
227,"Elektrotechnik, Elektronik, Telekommunikation, IT"
229,"Elektrotechnik, Elektronik, Telekommunikation, IT"
230,"Elektrotechnik, Elektronik, Telekommunikation, IT"
231,"Elektrotechnik, Elektronik, Telekommunikation, IT"
232,"Elektrotechnik, Elektronik, Telekommunikation, IT"
233,"Elektrotechnik, Elektronik, Telekommunikation, IT"
234,"Elektrotechnik, Elektronik, Telekommunikation, IT"
235,"Elektrotechnik, Elektronik, Telekommunikation, IT"
236,"Elektrotechnik, Elektronik, Telekommunikation, IT"
237,"Elektrotechnik, Elektronik, Telekommunikation, IT"
238,"Elektrotechnik, Elektronik, Telekommunikation, IT"
239,"Elektrotechnik, Elektronik, Telekommunikation, IT"
240,"Elektrotechnik, Elektronik, Telekommunikation, IT"
241,"Elektrotechnik, Elektronik, Telekommunikation, IT"
242,"Elektrotechnik, Elektronik, Telekommunikation, IT"
243,"Elektrotechnik, Elektronik, Telekommunikation, IT"
244,"Elektrotechnik, Elektronik, Telekommunikation, IT"
245,"Elektrotechnik, Elektronik, Telekommunikation, IT"
246,"Elektrotechnik, Elektronik, Telekommunikation, IT"
247,"Elektrotechnik, Elektronik, Telekommunikation, IT"
248,"Elektrotechnik, Elektronik, Telekommunikation, IT"
249,"Maschinenbau, Kfz, Metall"
250,"Wissenschaft, Bildung, Forschung und Entwicklung"
251,"Elektrotechnik, Elektronik, Telekommunikation, IT"
252,"Elektrotechnik, Elektronik, Telekommunikation, IT"
253,"Elektrotechnik, Elektronik, Telekommunikation, IT"
254,"Elektrotechnik, Elektronik, Telekommunikation, IT"
255,"Elektrotechnik, Elektronik, Telekommunikation, IT"
256,"Elektrotechnik, Elektronik, Telekommunikation, IT"
257,"Elektrotechnik, Elektronik, Telekommunikation, IT"
258,"Elektrotechnik, Elektronik, Telekommunikation, IT"
259,"Elektrotechnik, Elektronik, Telekommunikation, IT"
260,"Elektrotechnik, Elektronik, Telekommunikation, IT"
261,"Elektrotechnik, Elektronik, Telekommunikation, IT"
262,"Elektrotechnik, Elektronik, Telekommunikation, IT"
263,"Elektrotechnik, Elektronik, Telekommunikation, IT"
264,"Elektrotechnik, Elektronik, Telekommunikation, IT"
265,"Elektrotechnik, Elektronik, Telekommunikation, IT"
266,"Elektrotechnik, Elektronik, Telekommunikation, IT"
267,"Elektrotechnik, Elektronik, Telekommunikation, IT"
268,"Elektrotechnik, Elektronik, Telekommunikation, IT"
269,"Elektrotechnik, Elektronik, Telekommunikation, IT"
270,"Elektrotechnik, Elektronik, Telekommunikation, IT"
271,"Elektrotechnik, Elektronik, Telekommunikation, IT"
272,"Elektrotechnik, Elektronik, Telekommunikation, IT"
273,"Elektrotechnik, Elektronik, Telekommunikation, IT"
274,"Elektrotechnik, Elektronik, Telekommunikation, IT"
275,"Bau, Baunebengewerbe, Holz, Gebäudetechnik"
276,"Elektrotechnik, Elektronik, Telekommunikation, IT"
277,"Elektrotechnik, Elektronik, Telekommunikation, IT"
278,"Elektrotechnik, Elektronik, Telekommunikation, IT"
279,"Elektrotechnik, Elektronik, Telekommunikation, IT"
280,"Elektrotechnik, Elektronik, Telekommunikation, IT"
281,"Elektrotechnik, Elektronik, Telekommunikation, IT"
282,Unknown
283,"Elektrotechnik, Elektronik, Telekommunikation, IT"
284,"Elektrotechnik, Elektronik, Telekommunikation, IT"
285,"Elektrotechnik, Elektronik, Telekommunikation, IT"
286,"Büro, Marketing, Finanz, Recht, Sicherheit"
287,"Elektrotechnik, Elektronik, Telekommunikation, IT"
288,"Elektrotechnik, Elektronik, Telekommunikation, IT"
289,"Elektrotechnik, Elektronik, Telekommunikation, IT"
290,"Elektrotechnik, Elektronik, Telekommunikation, IT"
292,"Elektrotechnik, Elektronik, Telekommunikation, IT"
293,"Elektrotechnik, Elektronik, Telekommunikation, IT"
294,"Elektrotechnik, Elektronik, Telekommunikation, IT"
295,"Elektrotechnik, Elektronik, Telekommunikation, IT"
296,"Elektrotechnik, Elektronik, Telekommunikation, IT"
