request_number,industry
1,"Elektrotechnik, Elektronik, Telekommunikation, IT"
2,"Wissenschaft, Bildung, Forschung und Entwicklung"
3,"Wissenschaft, Bildung, Forschung und Entwicklung"
4,"Elektrotechnik, Elektronik, Telekommunikation, IT"
5,"Elektrotechnik, Elektronik, Telekommunikation, IT"
6,"Wissenschaft, Bildung, Forschung und Entwicklung"
7,Umwelt
8,"Wissenschaft, Bildung, Forschung und Entwicklung"
9,"Elektrotechnik, Elektronik, Telekommunikation, IT"
10,"Wissenschaft, Bildung, Forschung und Entwicklung"
11,"Wissenschaft, Bildung, Forschung und Entwicklung"
12,"Wissenschaft, Bildung, Forschung und Entwicklung"
13,"Elektrotechnik, Elektronik, Telekommunikation, IT"
14,"Wissenschaft, Bildung, Forschung und Entwicklung"
15,"Elektrotechnik, Elektronik, Telekommunikation, IT"
16,"Chemie, Biotechnologie, Lebensmittel, Kunststoffe"
17,"Elektrotechnik, Elektronik, Telekommunikation, IT"
18,"Elektrotechnik, Elektronik, Telekommunikation, IT"
19,"Wissenschaft, Bildung, Forschung und Entwicklung"
20,"Wissenschaft, Bildung, Forschung und Entwicklung"
21,"Elektrotechnik, Elektronik, Telekommunikation, IT"
22,Umwelt
23,"Wissenschaft, Bildung, Forschung und Entwicklung"
24,"Wissenschaft, Bildung, Forschung und Entwicklung"
25,"Elektrotechnik, Elektronik, Telekommunikation, IT"
26,"Wissenschaft, Bildung, Forschung und Entwicklung"
27,"Wissenschaft, Bildung, Forschung und Entwicklung"
28,"Elektrotechnik, Elektronik, Telekommunikation, IT"
29,"Elektrotechnik, Elektronik, Telekommunikation, IT"
30,"Wissenschaft, Bildung, Forschung und Entwicklung"
31,"Elektrotechnik, Elektronik, Telekommunikation, IT"
32,Umwelt
33,"Wissenschaft, Bildung, Forschung und Entwicklung"
34,"Wissenschaft, Bildung, Forschung und Entwicklung"
35,"Chemie, Biotechnologie, Lebensmittel, Kunststoffe"
36,"Wissenschaft, Bildung, Forschung und Entwicklung"
37,"Elektrotechnik, Elektronik, Telekommunikation, IT"
38,"Wissenschaft, Bildung, Forschung und Entwicklung"
39,"Chemie, Biotechnologie, Lebensmittel, Kunststoffe"
40,"Soziales, Gesundheit, Schönheitspflege"
41,"Wissenschaft, Bildung, Forschung und Entwicklung"
42,"Elektrotechnik, Elektronik, Telekommunikation, IT"
43,"Wissenschaft, Bildung, Forschung und Entwicklung"
44,"Wissenschaft, Bildung, Forschung und Entwicklung"
45,"Wissenschaft, Bildung, Forschung und Entwicklung"
46,"Elektrotechnik, Elektronik, Telekommunikation, IT"
47,"Wissenschaft, Bildung, Forschung und Entwicklung"
48,"Wissenschaft, Bildung, Forschung und Entwicklung"
49,"Elektrotechnik, Elektronik, Telekommunikation, IT"
50,"Elektrotechnik, Elektronik, Telekommunikation, IT"
51,"Elektrotechnik, Elektronik, Telekommunikation, IT"
52,"Chemie, Biotechnologie, Lebensmittel, Kunststoffe"
53,"Soziales, Gesundheit, Schönheitspflege"
54,"Soziales, Gesundheit, Schönheitspflege"
55,"Wissenschaft, Bildung, Forschung und Entwicklung"
56,"Wissenschaft, Bildung, Forschung und Entwicklung"
57,"Elektrotechnik, Elektronik, Telekommunikation, IT"
58,"Elektrotechnik, Elektronik, Telekommunikation, IT"
59,"Elektrotechnik, Elektronik, Telekommunikation, IT"
60,"Wissenschaft, Bildung, Forschung und Entwicklung"
61,"Elektrotechnik, Elektronik, Telekommunikation, IT"
62,"Wissenschaft, Bildung, Forschung und Entwicklung"
63,"Bau, Baunebengewerbe, Holz, Gebäudetechnik"
64,"Wissenschaft, Bildung, Forschung und Entwicklung"
65,Umwelt
66,"Wissenschaft, Bildung, Forschung und Entwicklung"
67,"Elektrotechnik, Elektronik, Telekommunikation, IT"
68,"Wissenschaft, Bildung, Forschung und Entwicklung"
69,"Elektrotechnik, Elektronik, Telekommunikation, IT"
70,"Elektrotechnik, Elektronik, Telekommunikation, IT"
71,"Elektrotechnik, Elektronik, Telekommunikation, IT"
72,"Wissenschaft, Bildung, Forschung und Entwicklung"
73,"Elektrotechnik, Elektronik, Telekommunikation, IT"
74,"Soziales, Gesundheit, Schönheitspflege"
75,"Elektrotechnik, Elektronik, Telekommunikation, IT"
76,"Elektrotechnik, Elektronik, Telekommunikation, IT"
77,"Elektrotechnik, Elektronik, Telekommunikation, IT"
78,"Elektrotechnik, Elektronik, Telekommunikation, IT"
79,"Elektrotechnik, Elektronik, Telekommunikation, IT"
80,"Wissenschaft, Bildung, Forschung und Entwicklung"
81,"Elektrotechnik, Elektronik, Telekommunikation, IT"
82,"Elektrotechnik, Elektronik, Telekommunikation, IT"
83,"Elektrotechnik, Elektronik, Telekommunikation, IT"
84,"Elektrotechnik, Elektronik, Telekommunikation, IT"
85,"Elektrotechnik, Elektronik, Telekommunikation, IT"
86,"Wissenschaft, Bildung, Forschung und Entwicklung"
87,"Elektrotechnik, Elektronik, Telekommunikation, IT"
88,"Elektrotechnik, Elektronik, Telekommunikation, IT"
89,"Wissenschaft, Bildung, Forschung und Entwicklung"
90,"Elektrotechnik, Elektronik, Telekommunikation, IT"
91,"Elektrotechnik, Elektronik, Telekommunikation, IT"
92,"Elektrotechnik, Elektronik, Telekommunikation, IT"
93,"Elektrotechnik, Elektronik, Telekommunikation, IT"
94,"Wissenschaft, Bildung, Forschung und Entwicklung"
95,"Elektrotechnik, Elektronik, Telekommunikation, IT"
96,"Elektrotechnik, Elektronik, Telekommunikation, IT"
