request_number,industry
1,"Wissenschaft, Bildung, Forschung und Entwicklung"
2,"Elektrotechnik, Elektronik, Telekommunikation, IT"
3,"Elektrotechnik, Elektronik, Telekommunikation, IT"
4,"Elektrotechnik, Elektronik, Telekommunikation, IT"
5,"Elektrotechnik, Elektronik, Telekommunikation, IT"
6,"Elektrotechnik, Elektronik, Telekommunikation, IT"
7,"Wissenschaft, Bildung, Forschung und Entwicklung"
8,"Elektrotechnik, Elektronik, Telekommunikation, IT"
9,"Wissenschaft, Bildung, Forschung und Entwicklung"
10,"Elektrotechnik, Elektronik, Telekommunikation, IT"
11,"Elektrotechnik, Elektronik, Telekommunikation, IT"
12,"Elektrotechnik, Elektronik, Telekommunikation, IT"
13,"Elektrotechnik, Elektronik, Telekommunikation, IT"
14,"Elektrotechnik, Elektronik, Telekommunikation, IT"
15,"Elektrotechnik, Elektronik, Telekommunikation, IT"
16,"Elektrotechnik, Elektronik, Telekommunikation, IT"
17,"Elektrotechnik, Elektronik, Telekommunikation, IT"
18,"Wissenschaft, Bildung, Forschung und Entwicklung"
19,"Elektrotechnik, Elektronik, Telekommunikation, IT"
20,"Elektrotechnik, Elektronik, Telekommunikation, IT"
21,"Elektrotechnik, Elektronik, Telekommunikation, IT"
22,"Wissenschaft, Bildung, Forschung und Entwicklung"
23,"Elektrotechnik, Elektronik, Telekommunikation, IT"
24,"Elektrotechnik, Elektronik, Telekommunikation, IT"
25,"Elektrotechnik, Elektronik, Telekommunikation, IT"
26,"Elektrotechnik, Elektronik, Telekommunikation, IT"
27,"Elektrotechnik, Elektronik, Telekommunikation, IT"
28,"Elektrotechnik, Elektronik, Telekommunikation, IT"
29,"Wissenschaft, Bildung, Forschung und Entwicklung"
30,"Elektrotechnik, Elektronik, Telekommunikation, IT"
31,"Wissenschaft, Bildung, Forschung und Entwicklung"
32,"Elektrotechnik, Elektronik, Telekommunikation, IT"
33,"Elektrotechnik, Elektronik, Telekommunikation, IT"
34,"Elektrotechnik, Elektronik, Telekommunikation, IT"
35,"Elektrotechnik, Elektronik, Telekommunikation, IT"
36,"Elektrotechnik, Elektronik, Telekommunikation, IT"
37,"Elektrotechnik, Elektronik, Telekommunikation, IT"
38,"Elektrotechnik, Elektronik, Telekommunikation, IT"
39,"Elektrotechnik, Elektronik, Telekommunikation, IT"
40,"Elektrotechnik, Elektronik, Telekommunikation, IT"
41,"Elektrotechnik, Elektronik, Telekommunikation, IT"
42,"Elektrotechnik, Elektronik, Telekommunikation, IT"
43,"Elektrotechnik, Elektronik, Telekommunikation, IT"
44,"Wissenschaft, Bildung, Forschung und Entwicklung"
45,"Elektrotechnik, Elektronik, Telekommunikation, IT"
46,"Elektrotechnik, Elektronik, Telekommunikation, IT"
