request_number,industry,gender,nation,model
1,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
2,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
3,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
4,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
5,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
6,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
7,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
8,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
9,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
10,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
11,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
12,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
13,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
14,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
15,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
16,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
17,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
18,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
19,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
20,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
21,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
22,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
23,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
24,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
25,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
26,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
27,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
28,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
29,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
30,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
31,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
32,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
33,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
34,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
35,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
36,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
37,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
38,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
39,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
40,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
41,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
42,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
43,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
44,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
45,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
46,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
47,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
48,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
49,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
50,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
51,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
52,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
53,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
54,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
55,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
56,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
57,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
58,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
59,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
60,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
61,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
62,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
63,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
64,"Science, Education, Research and Development",default,default,x-ai/grok-3-mini-beta
65,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,x-ai/grok-3-mini-beta
