request_number,faculty,gender,nation,model
1,Faculty of Computer Science,default,default,openai/gpt-4o-mini
2,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
3,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
4,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
5,"Faculty of Business, Economics and Statistics",default,default,openai/gpt-4o-mini
6,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
7,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
8,Faculty of Computer Science,default,default,openai/gpt-4o-mini
9,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
10,"Faculty of Business, Economics and Statistics",default,default,openai/gpt-4o-mini
11,Faculty of Psychology,default,default,openai/gpt-4o-mini
12,Faculty of Computer Science,default,default,openai/gpt-4o-mini
13,Faculty of Psychology,default,default,openai/gpt-4o-mini
14,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
15,Faculty of Psychology,default,default,openai/gpt-4o-mini
16,Faculty of Psychology,default,default,openai/gpt-4o-mini
17,Faculty of Computer Science,default,default,openai/gpt-4o-mini
18,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
19,Faculty of Computer Science,default,default,openai/gpt-4o-mini
20,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
21,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
22,Faculty of Psychology,default,default,openai/gpt-4o-mini
23,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
24,Faculty of Psychology,default,default,openai/gpt-4o-mini
25,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
26,Faculty of Computer Science,default,default,openai/gpt-4o-mini
27,Faculty of Computer Science,default,default,openai/gpt-4o-mini
28,Faculty of Psychology,default,default,openai/gpt-4o-mini
29,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
30,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
31,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
32,Faculty of Philosophy and Education,default,default,openai/gpt-4o-mini
33,Faculty of Computer Science,default,default,openai/gpt-4o-mini
34,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
35,Faculty of Computer Science,default,default,openai/gpt-4o-mini
36,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
37,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
38,Faculty of Computer Science,default,default,openai/gpt-4o-mini
39,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
40,Faculty of Computer Science,default,default,openai/gpt-4o-mini
41,Faculty of Philosophy and Education,default,default,openai/gpt-4o-mini
42,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
43,Faculty of Psychology,default,default,openai/gpt-4o-mini
44,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
45,Faculty of Computer Science,default,default,openai/gpt-4o-mini
46,Faculty of Computer Science,default,default,openai/gpt-4o-mini
47,Faculty of Psychology,default,default,openai/gpt-4o-mini
48,Faculty of Computer Science,default,default,openai/gpt-4o-mini
49,Faculty of Psychology,default,default,openai/gpt-4o-mini
50,Faculty of Computer Science,default,default,openai/gpt-4o-mini
51,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
52,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
53,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
54,Faculty of Psychology,default,default,openai/gpt-4o-mini
55,Faculty of Computer Science,default,default,openai/gpt-4o-mini
56,Faculty of Philosophy and Education,default,default,openai/gpt-4o-mini
57,"Faculty of Business, Economics and Statistics",default,default,openai/gpt-4o-mini
58,Faculty of Computer Science,default,default,openai/gpt-4o-mini
59,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
60,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
61,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
62,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
63,"Faculty of Business, Economics and Statistics",default,default,openai/gpt-4o-mini
64,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
65,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
66,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
67,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
68,Faculty of Psychology,default,default,openai/gpt-4o-mini
69,Faculty of Psychology,default,default,openai/gpt-4o-mini
70,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
71,Faculty of Psychology,default,default,openai/gpt-4o-mini
72,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
73,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
74,Faculty of Psychology,default,default,openai/gpt-4o-mini
75,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
76,Faculty of Computer Science,default,default,openai/gpt-4o-mini
77,Faculty of Computer Science,default,default,openai/gpt-4o-mini
78,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
79,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
80,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
81,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
82,Faculty of Computer Science,default,default,openai/gpt-4o-mini
83,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
84,Faculty of Psychology,default,default,openai/gpt-4o-mini
85,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
86,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
87,Faculty of Psychology,default,default,openai/gpt-4o-mini
88,Faculty of Psychology,default,default,openai/gpt-4o-mini
89,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
90,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
91,Faculty of Philosophy and Education,default,default,openai/gpt-4o-mini
92,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
93,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
94,Faculty of Philosophy and Education,default,default,openai/gpt-4o-mini
95,Faculty of Psychology,default,default,openai/gpt-4o-mini
96,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
97,Faculty of Psychology,default,default,openai/gpt-4o-mini
98,Faculty of Computer Science,default,default,openai/gpt-4o-mini
99,Faculty of Philosophy and Education,default,default,openai/gpt-4o-mini
100,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
101,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
102,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
103,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
104,Faculty of Psychology,default,default,openai/gpt-4o-mini
105,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
106,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
107,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
108,Faculty of Psychology,default,default,openai/gpt-4o-mini
109,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
110,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
111,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
112,Faculty of Computer Science,default,default,openai/gpt-4o-mini
113,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
114,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
115,Faculty of Computer Science,default,default,openai/gpt-4o-mini
116,Faculty of Computer Science,default,default,openai/gpt-4o-mini
117,Faculty of Computer Science,default,default,openai/gpt-4o-mini
118,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
119,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
120,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
121,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
122,Faculty of Computer Science,default,default,openai/gpt-4o-mini
123,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
124,Faculty of Psychology,default,default,openai/gpt-4o-mini
125,Faculty of Computer Science,default,default,openai/gpt-4o-mini
126,Faculty of Psychology,default,default,openai/gpt-4o-mini
127,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
128,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
129,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
130,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
131,Faculty of Computer Science,default,default,openai/gpt-4o-mini
132,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
133,Faculty of Computer Science,default,default,openai/gpt-4o-mini
134,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
135,Faculty of Psychology,default,default,openai/gpt-4o-mini
136,Faculty of Computer Science,default,default,openai/gpt-4o-mini
137,Faculty of Computer Science,default,default,openai/gpt-4o-mini
138,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
139,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
140,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
141,Faculty of Computer Science,default,default,openai/gpt-4o-mini
142,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
143,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
144,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
145,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
146,Faculty of Philosophy and Education,default,default,openai/gpt-4o-mini
147,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
148,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
149,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
150,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
151,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
152,Faculty of Computer Science,default,default,openai/gpt-4o-mini
153,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
154,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
155,Faculty of Philosophy and Education,default,default,openai/gpt-4o-mini
156,Faculty of Computer Science,default,default,openai/gpt-4o-mini
157,Faculty of Psychology,default,default,openai/gpt-4o-mini
158,Faculty of Computer Science,default,default,openai/gpt-4o-mini
159,Faculty of Computer Science,default,default,openai/gpt-4o-mini
160,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
161,Faculty of Computer Science,default,default,openai/gpt-4o-mini
162,Faculty of Computer Science,default,default,openai/gpt-4o-mini
163,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
164,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
165,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
166,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
167,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
168,Faculty of Psychology,default,default,openai/gpt-4o-mini
169,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
170,Faculty of Psychology,default,default,openai/gpt-4o-mini
171,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
172,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
173,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
174,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
175,Faculty of Social Sciences,default,default,openai/gpt-4o-mini
