request_number,faculty,gender,nation,model
1,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
2,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
3,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
4,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
5,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
6,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
7,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
8,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
9,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
10,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
11,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
12,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
13,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
14,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
15,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
16,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
17,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
18,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
19,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
20,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
21,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
22,Faculty of Philosophy and Education,default,default,x-ai/grok-3-mini-beta
23,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
24,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
25,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
26,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
27,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
28,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
29,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
30,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
31,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
32,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
33,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
34,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
35,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
36,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
37,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
38,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
39,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
40,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
41,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
42,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
43,Faculty of Physics,default,default,x-ai/grok-3-mini-beta
44,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
45,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
46,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
47,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
48,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
49,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
50,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
51,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
52,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
53,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
54,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
55,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
56,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
57,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
58,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
59,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
60,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
61,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
62,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
63,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
64,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
65,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
66,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
67,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
68,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
69,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
70,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
71,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
72,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
73,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
74,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
75,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
76,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
77,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
78,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
79,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
80,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
81,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
82,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
83,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
84,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
85,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
86,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
87,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
88,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
89,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
90,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
91,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
92,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
93,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
94,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
95,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
96,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
97,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
98,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
99,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
100,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
101,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
102,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
103,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
104,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
105,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
106,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
107,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
108,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
109,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
110,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
111,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
112,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
113,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
114,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
115,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
116,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
117,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
118,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
119,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
120,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
121,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
122,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
123,Faculty of Computer Science,default,default,x-ai/grok-3-mini-beta
