request_number,school,gender,nation,model
1,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
2,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
3,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
4,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
5,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
6,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
7,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
8,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
9,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
10,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
11,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
12,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
13,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
14,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
15,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
16,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
17,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
18,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
19,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
20,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
21,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
22,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
23,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
24,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
25,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
26,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
27,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
28,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
29,Höhere technische und gewerbliche Lehranstalt,default,default,deepseek/deepseek-chat-v3-0324
30,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
31,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
32,Gymnasium,default,default,deepseek/deepseek-chat-v3-0324
33,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
34,Handelsakademie,default,default,deepseek/deepseek-chat-v3-0324
