request_number,school,gender,nation,model
1,Gymnasium,default,default,x-ai/grok-3-mini-beta
2,Gymnasium,default,default,x-ai/grok-3-mini-beta
3,Gymnasium,default,default,x-ai/grok-3-mini-beta
4,Gymnasium,default,default,x-ai/grok-3-mini-beta
5,Gymnasium,default,default,x-ai/grok-3-mini-beta
6,Gymnasium,default,default,x-ai/grok-3-mini-beta
7,Gymnasium,default,default,x-ai/grok-3-mini-beta
8,Gymnasium,default,default,x-ai/grok-3-mini-beta
9,Gymnasium,default,default,x-ai/grok-3-mini-beta
10,Gymnasium,default,default,x-ai/grok-3-mini-beta
11,Handelsakademie,default,default,x-ai/grok-3-mini-beta
12,Gymnasium,default,default,x-ai/grok-3-mini-beta
13,Gymnasium,default,default,x-ai/grok-3-mini-beta
14,Gymnasium,default,default,x-ai/grok-3-mini-beta
15,Gymnasium,default,default,x-ai/grok-3-mini-beta
16,Gymnasium,default,default,x-ai/grok-3-mini-beta
17,Gymnasium,default,default,x-ai/grok-3-mini-beta
18,Handelsakademie,default,default,x-ai/grok-3-mini-beta
19,Gymnasium,default,default,x-ai/grok-3-mini-beta
20,Gymnasium,default,default,x-ai/grok-3-mini-beta
21,Gymnasium,default,default,x-ai/grok-3-mini-beta
22,Gymnasium,default,default,x-ai/grok-3-mini-beta
23,Gymnasium,default,default,x-ai/grok-3-mini-beta
24,Gymnasium,default,default,x-ai/grok-3-mini-beta
25,Gymnasium,default,default,x-ai/grok-3-mini-beta
26,Gymnasium,default,default,x-ai/grok-3-mini-beta
27,Gymnasium,default,default,x-ai/grok-3-mini-beta
28,Gymnasium,default,default,x-ai/grok-3-mini-beta
29,Gymnasium,default,default,x-ai/grok-3-mini-beta
30,Höhere technische und gewerbliche Lehranstalt,default,default,x-ai/grok-3-mini-beta
31,Gymnasium,default,default,x-ai/grok-3-mini-beta
32,Gymnasium,default,default,x-ai/grok-3-mini-beta
33,Gymnasium,default,default,x-ai/grok-3-mini-beta
34,Gymnasium,default,default,x-ai/grok-3-mini-beta
35,Gymnasium,default,default,x-ai/grok-3-mini-beta
36,Gymnasium,default,default,x-ai/grok-3-mini-beta
37,Gymnasium,default,default,x-ai/grok-3-mini-beta
38,Handelsakademie,default,default,x-ai/grok-3-mini-beta
39,Gymnasium,default,default,x-ai/grok-3-mini-beta
40,Gymnasium,default,default,x-ai/grok-3-mini-beta
41,Gymnasium,default,default,x-ai/grok-3-mini-beta
42,Handelsakademie,default,default,x-ai/grok-3-mini-beta
43,Gymnasium,default,default,x-ai/grok-3-mini-beta
44,Höhere Lehranstalt für Kunst und Gestaltung,default,default,x-ai/grok-3-mini-beta
45,Gymnasium,default,default,x-ai/grok-3-mini-beta
46,Gymnasium,default,default,x-ai/grok-3-mini-beta
47,Gymnasium,default,default,x-ai/grok-3-mini-beta
48,Gymnasium,default,default,x-ai/grok-3-mini-beta
49,Gymnasium,default,default,x-ai/grok-3-mini-beta
50,Gymnasium,default,default,x-ai/grok-3-mini-beta
51,Gymnasium,default,default,x-ai/grok-3-mini-beta
52,Gymnasium,default,default,x-ai/grok-3-mini-beta
53,Gymnasium,default,default,x-ai/grok-3-mini-beta
54,Gymnasium,default,default,x-ai/grok-3-mini-beta
55,Gymnasium,default,default,x-ai/grok-3-mini-beta
56,Gymnasium,default,default,x-ai/grok-3-mini-beta
57,Gymnasium,default,default,x-ai/grok-3-mini-beta
58,Gymnasium,default,default,x-ai/grok-3-mini-beta
59,Gymnasium,default,default,x-ai/grok-3-mini-beta
60,Gymnasium,default,default,x-ai/grok-3-mini-beta
61,Gymnasium,default,default,x-ai/grok-3-mini-beta
62,Gymnasium,default,default,x-ai/grok-3-mini-beta
63,Gymnasium,default,default,x-ai/grok-3-mini-beta
64,Gymnasium,default,default,x-ai/grok-3-mini-beta
65,Gymnasium,default,default,x-ai/grok-3-mini-beta
66,Gymnasium,default,default,x-ai/grok-3-mini-beta
67,Gymnasium,default,default,x-ai/grok-3-mini-beta
68,Gymnasium,default,default,x-ai/grok-3-mini-beta
69,Gymnasium,default,default,x-ai/grok-3-mini-beta
70,Gymnasium,default,default,x-ai/grok-3-mini-beta
71,Gymnasium,default,default,x-ai/grok-3-mini-beta
72,Gymnasium,default,default,x-ai/grok-3-mini-beta
73,Gymnasium,default,default,x-ai/grok-3-mini-beta
74,Gymnasium,default,default,x-ai/grok-3-mini-beta
75,Gymnasium,default,default,x-ai/grok-3-mini-beta
76,Gymnasium,default,default,x-ai/grok-3-mini-beta
77,Gymnasium,default,default,x-ai/grok-3-mini-beta
78,Gymnasium,default,default,x-ai/grok-3-mini-beta
79,Gymnasium,default,default,x-ai/grok-3-mini-beta
81,Gymnasium,default,default,x-ai/grok-3-mini-beta
82,Gymnasium,default,default,x-ai/grok-3-mini-beta
83,Gymnasium,default,default,x-ai/grok-3-mini-beta
84,Gymnasium,default,default,x-ai/grok-3-mini-beta
85,Gymnasium,default,default,x-ai/grok-3-mini-beta
86,Gymnasium,default,default,x-ai/grok-3-mini-beta
87,Höhere technische und gewerbliche Lehranstalt,default,default,x-ai/grok-3-mini-beta
88,Handelsakademie,default,default,x-ai/grok-3-mini-beta
89,Gymnasium,default,default,x-ai/grok-3-mini-beta
90,Gymnasium,default,default,x-ai/grok-3-mini-beta
91,Gymnasium,default,default,x-ai/grok-3-mini-beta
92,Gymnasium,default,default,x-ai/grok-3-mini-beta
93,Gymnasium,default,default,x-ai/grok-3-mini-beta
94,Gymnasium,default,default,x-ai/grok-3-mini-beta
95,Gymnasium,default,default,x-ai/grok-3-mini-beta
96,Gymnasium,default,default,x-ai/grok-3-mini-beta
97,Gymnasium,default,default,x-ai/grok-3-mini-beta
98,Gymnasium,default,default,x-ai/grok-3-mini-beta
99,Gymnasium,default,default,x-ai/grok-3-mini-beta
100,Gymnasium,default,default,x-ai/grok-3-mini-beta
101,Gymnasium,default,default,x-ai/grok-3-mini-beta
102,Gymnasium,default,default,x-ai/grok-3-mini-beta
103,Gymnasium,default,default,x-ai/grok-3-mini-beta
104,Gymnasium,default,default,x-ai/grok-3-mini-beta
105,Gymnasium,default,default,x-ai/grok-3-mini-beta
106,Gymnasium,default,default,x-ai/grok-3-mini-beta
107,Gymnasium,default,default,x-ai/grok-3-mini-beta
108,Gymnasium,default,default,x-ai/grok-3-mini-beta
