request_number,school
1,Höhere Lehranstalt für Kunst und Gestaltung
2,Höhere Lehranstalt für Kunst und Gestaltung
3,Höhere Lehranstalt für Kunst und Gestaltung
4,Höhere Lehranstalt für Tourismus
5,Höhere Lehranstalt für Kunst und Gestaltung
6,Höhere Lehranstalt für Tourismus
7,Höhere Lehranstalt für Kunst und Gestaltung
8,Höhere Lehranstalt für Kunst und Gestaltung
9,Höhere Lehranstalt für Mode
10,Höhere technische und gewerbliche Lehranstalt
11,Höhere Lehranstalt für Kunst und Gestaltung
12,Höhere Lehranstalt für Tourismus
13,Höhere Lehranstalt für Produktmanagement und Präsentation
14,Höhere Lehranstalt für Kunst und Gestaltung
15,Höhere Lehranstalt für Tourismus
16,Höhere Lehranstalt für Produktmanagement und Präsentation
17,Höhere Lehranstalt für Kunst und Gestaltung
18,Höhere Lehranstalt für Produktmanagement und Präsentation
19,Höhere Lehranstalt für Mode
20,Höhere Lehranstalt für Produktmanagement und Präsentation
21,Höhere Lehranstalt für Kunst und Gestaltung
22,Höhere Lehranstalt für Mode
23,Höhere technische und gewerbliche Lehranstalt
24,Höhere Lehranstalt für Produktmanagement und Präsentation
25,Höhere Lehranstalt für Tourismus
26,Höhere Lehranstalt für Kunst und Gestaltung
27,Höhere Lehranstalt für Mode
28,Höhere Lehranstalt für wirtschaftliche Berufe
29,Höhere Lehranstalt für Kunst und Gestaltung
30,Höhere Lehranstalt für Kunst und Gestaltung
31,Höhere Lehranstalt für Kunst und Gestaltung
32,Höhere Lehranstalt für Pflege und Sozialbetreuung
33,Höhere Lehranstalt für Kunst und Gestaltung
34,Höhere Lehranstalt für wirtschaftliche Berufe
35,Höhere Lehranstalt für Kunst und Gestaltung
36,Höhere Lehranstalt für wirtschaftliche Berufe
37,Höhere Lehranstalt für Kunst und Gestaltung
38,Höhere Lehranstalt für Kunst und Gestaltung
39,Höhere Lehranstalt für Mode
40,Höhere Lehranstalt für Kunst und Gestaltung
41,Höhere Lehranstalt für Kunst und Gestaltung
42,Höhere Lehranstalt für Produktmanagement und Präsentation
43,Höhere Lehranstalt für Mode
44,Höhere Lehranstalt für Kunst und Gestaltung
45,Höhere Lehranstalt für Kunst und Gestaltung
46,Höhere Lehranstalt für Produktmanagement und Präsentation
47,Höhere Lehranstalt für Tourismus
48,Höhere Lehranstalt für Kunst und Gestaltung
49,Höhere Lehranstalt für Produktmanagement und Präsentation
50,Höhere Lehranstalt für wirtschaftliche Berufe
51,Höhere Lehranstalt für Kunst und Gestaltung
52,Höhere Lehranstalt für Produktmanagement und Präsentation
53,Höhere Lehranstalt für Mode
54,Höhere Lehranstalt für Tourismus
55,Höhere Lehranstalt für wirtschaftliche Berufe
56,Höhere Lehranstalt für Tourismus
57,Höhere Lehranstalt für Mode
58,Höhere Lehranstalt für wirtschaftliche Berufe
59,Höhere Lehranstalt für Kunst und Gestaltung
60,Höhere Lehranstalt für wirtschaftliche Berufe
61,Höhere Lehranstalt für Kunst und Gestaltung
62,Höhere Lehranstalt für Kunst und Gestaltung
63,Höhere Lehranstalt für wirtschaftliche Berufe
64,Höhere Lehranstalt für Pflege und Sozialbetreuung
65,Höhere Lehranstalt für Tourismus
66,Höhere technische und gewerbliche Lehranstalt
67,Höhere Lehranstalt für wirtschaftliche Berufe
68,Höhere Lehranstalt für wirtschaftliche Berufe
69,Höhere Lehranstalt für Mode
70,Höhere Lehranstalt für Kunst und Gestaltung
71,Gymnasium
72,Höhere Lehranstalt für Kunst und Gestaltung
73,Höhere Lehranstalt für Mode
74,Höhere Lehranstalt für Produktmanagement und Präsentation
75,Höhere Lehranstalt für Kunst und Gestaltung
76,Höhere Lehranstalt für wirtschaftliche Berufe
77,Höhere technische und gewerbliche Lehranstalt
78,Höhere Lehranstalt für Mode
79,Höhere Lehranstalt für Kunst und Gestaltung
80,Höhere Lehranstalt für Kunst und Gestaltung
81,Höhere Lehranstalt für Kunst und Gestaltung
82,Höhere Lehranstalt für Produktmanagement und Präsentation
83,Höhere Lehranstalt für wirtschaftliche Berufe
84,Höhere Lehranstalt für Kunst und Gestaltung
85,Höhere Lehranstalt für Kunst und Gestaltung
86,Höhere Lehranstalt für Tourismus
87,Höhere technische und gewerbliche Lehranstalt
88,Höhere Lehranstalt für wirtschaftliche Berufe
89,Höhere Lehranstalt für Mode
90,Höhere Lehranstalt für Kunst und Gestaltung
91,Höhere Lehranstalt für Kunst und Gestaltung
92,Höhere Lehranstalt für Mode
