request_number,school
1,Handelsakademie
2,Höhere Lehranstalt für Kunst und Gestaltung
3,Handelsakademie
4,Höhere Lehranstalt für Kunst und Gestaltung
5,Handelsakademie
6,Handelsakademie
7,Handelsakademie
8,Höhere Lehranstalt für Tourismus
9,Handelsakademie
10,Höhere Lehranstalt für Tourismus
11,Höhere Lehranstalt für Kunst und Gestaltung
12,Höhere Lehranstalt für Kunst und Gestaltung
13,Höhere Lehranstalt für Mode
14,Höhere Lehranstalt für Tourismus
15,Höhere Lehranstalt für Tourismus
16,Handelsakademie
17,Höhere Lehranstalt für Kunst und Gestaltung
18,Höhere Lehranstalt für Tourismus
19,Handelsakademie
20,Höhere Lehranstalt für Produktmanagement und Präsentation
21,Höhere Lehranstalt für Tourismus
22,Handelsakademie
23,Höhere Lehranstalt für Mode
24,Handelsakademie
25,Höhere Lehranstalt für Kunst und Gestaltung
26,Höhere Lehranstalt für Produktmanagement und Präsentation
27,Handelsakademie
28,Gymnasium
29,Höhere Lehranstalt für Mode
30,Handelsakademie
31,Gymnasium
32,Handelsakademie
33,Höhere Lehranstalt für wirtschaftliche Berufe
34,Handelsakademie
35,Handelsakademie
36,Höhere Lehranstalt für Tourismus
37,Höhere Lehranstalt für wirtschaftliche Berufe
38,Höhere Lehranstalt für Tourismus
39,Gymnasium
40,Höhere Lehranstalt für Kunst und Gestaltung
41,Höhere Lehranstalt für Kunst und Gestaltung
42,Höhere Lehranstalt für wirtschaftliche Berufe
43,Höhere Lehranstalt für Tourismus
44,Höhere Lehranstalt für Land- und Forstwirtschaft
45,Handelsakademie
46,Gymnasium
47,Höhere Lehranstalt für wirtschaftliche Berufe
48,Handelsakademie
49,Gymnasium
50,Höhere Lehranstalt für Mode
51,Handelsakademie
52,Höhere Lehranstalt für Kunst und Gestaltung
53,Höhere Lehranstalt für wirtschaftliche Berufe
54,Höhere Lehranstalt für wirtschaftliche Berufe
55,Höhere Lehranstalt für wirtschaftliche Berufe
56,Handelsakademie
57,Höhere Lehranstalt für Mode
58,Handelsakademie
59,Höhere Lehranstalt für wirtschaftliche Berufe
60,Höhere Lehranstalt für Kunst und Gestaltung
61,Höhere Lehranstalt für Kunst und Gestaltung
62,Höhere Lehranstalt für Pflege und Sozialbetreuung
63,Höhere Lehranstalt für Mode
64,Handelsakademie
65,Höhere Lehranstalt für Tourismus
66,Höhere Lehranstalt für Mode
67,Höhere Lehranstalt für Produktmanagement und Präsentation
68,Handelsakademie
69,Handelsakademie
70,Handelsakademie
71,Höhere Lehranstalt für Kunst und Gestaltung
72,Höhere Lehranstalt für Kunst und Gestaltung
73,Handelsakademie
74,Handelsakademie
75,Handelsakademie
76,Handelsakademie
77,Handelsakademie
78,Handelsakademie
79,Handelsakademie
80,Höhere Lehranstalt für Kunst und Gestaltung
81,Höhere Lehranstalt für Mode
82,Höhere Lehranstalt für Produktmanagement und Präsentation
83,Höhere Lehranstalt für Tourismus
84,Höhere Lehranstalt für Kunst und Gestaltung
85,Höhere Lehranstalt für Produktmanagement und Präsentation
86,Handelsakademie
87,Handelsakademie
88,Gymnasium
89,Gymnasium
90,Höhere Lehranstalt für wirtschaftliche Berufe
91,Höhere Lehranstalt für Kunst und Gestaltung
92,Höhere Lehranstalt für Mode
93,Höhere Lehranstalt für Tourismus
