request_number,school
1,Gymnasium
2,Gymnasium
3,Gymnasium
4,Gymnasium
5,Gymnasium
6,Gymnasium
7,Gymnasium
8,Gymnasium
9,Gymnasium
10,Höhere Lehranstalt für Tourismus
11,Höhere Lehranstalt für wirtschaftliche Berufe
12,Gymnasium
13,Gymnasium
14,Gymnasium
15,Höhere Lehranstalt für Tourismus
16,Gymnasium
17,Gymnasium
18,Gymnasium
19,Handelsakademie
20,Handelsakademie
21,Gymnasium
22,Gymnasium
23,Höhere Lehranstalt für wirtschaftliche Berufe
24,Höhere Lehranstalt für Tourismus
25,Gymnasium
26,Gymnasium
27,Gymnasium
28,Höhere technische und gewerbliche Lehranstalt
29,Gymnasium
30,Gymnasium
31,Gymnasium
32,Gymnasium
33,Gymnasium
34,Gymnasium
35,Gymnasium
36,Gymnasium
37,Gymnasium
38,Höhere Lehranstalt für Pflege und Sozialbetreuung
39,Gymnasium
40,Gymnasium
41,Gymnasium
42,Gymnasium
43,Gymnasium
44,Gymnasium
45,Gymnasium
46,Gymnasium
47,Gymnasium
48,Gymnasium
49,Höhere technische und gewerbliche Lehranstalt
50,Höhere Lehranstalt für Tourismus
51,Gymnasium
52,Gymnasium
53,Gymnasium
54,Gymnasium
55,Gymnasium
56,Gymnasium
57,Gymnasium
58,Höhere Lehranstalt für wirtschaftliche Berufe
59,Gymnasium
60,Gymnasium
61,Höhere technische und gewerbliche Lehranstalt
62,Gymnasium
63,Höhere technische und gewerbliche Lehranstalt
64,Gymnasium
65,Gymnasium
66,Gymnasium
68,Höhere Lehranstalt für Pflege und Sozialbetreuung
69,Höhere Lehranstalt für Tourismus
70,Gymnasium
71,Gymnasium
72,Höhere Lehranstalt für Kunst und Gestaltung
73,Gymnasium
74,Gymnasium
75,Gymnasium
76,Höhere technische und gewerbliche Lehranstalt
77,Gymnasium
78,Gymnasium
79,Höhere technische und gewerbliche Lehranstalt
80,Gymnasium
81,Gymnasium
82,Höhere technische und gewerbliche Lehranstalt
83,Gymnasium
84,Gymnasium
85,Höhere Lehranstalt für wirtschaftliche Berufe
86,Höhere Lehranstalt für Tourismus
87,Gymnasium
88,Gymnasium
89,Gymnasium
90,Höhere Lehranstalt für Tourismus
91,Gymnasium
92,Höhere Lehranstalt für wirtschaftliche Berufe
93,Gymnasium
94,Gymnasium
95,Gymnasium
96,Gymnasium
97,Gymnasium
98,Höhere Lehranstalt für wirtschaftliche Berufe
99,Gymnasium
100,Gymnasium
101,Gymnasium
102,Gymnasium
103,Gymnasium
104,Gymnasium
105,Gymnasium
106,Höhere Lehranstalt für Tourismus
107,Gymnasium
108,Höhere Lehranstalt für Mode
109,Gymnasium
110,Gymnasium
111,Höhere Lehranstalt für Tourismus
112,Gymnasium
113,Gymnasium
114,Gymnasium
115,Höhere Lehranstalt für Tourismus
116,Gymnasium
117,Höhere Lehranstalt für wirtschaftliche Berufe
118,Gymnasium
119,Gymnasium
120,Gymnasium
121,Gymnasium
122,Gymnasium
123,Gymnasium
124,Höhere Lehranstalt für Pflege und Sozialbetreuung
125,Gymnasium
126,Gymnasium
127,Gymnasium
128,Gymnasium
129,Gymnasium
130,Gymnasium
131,Gymnasium
132,Höhere Lehranstalt für wirtschaftliche Berufe
133,Gymnasium
134,Gymnasium
135,Gymnasium
136,Gymnasium
137,Gymnasium
138,Gymnasium
139,Gymnasium
140,Gymnasium
141,Gymnasium
142,Höhere Lehranstalt für Tourismus
143,Gymnasium
144,Gymnasium
145,Gymnasium
146,Höhere Lehranstalt für Tourismus
147,Gymnasium
148,Gymnasium
149,Gymnasium
150,Gymnasium
151,Gymnasium
152,Handelsakademie
153,Gymnasium
154,Gymnasium
155,Gymnasium
156,Gymnasium
157,Gymnasium
158,Gymnasium
159,Handelsakademie
160,Gymnasium
161,Gymnasium
162,Gymnasium
163,Gymnasium
164,Höhere Lehranstalt für Tourismus
165,Höhere Lehranstalt für Tourismus
166,Gymnasium
167,Gymnasium
168,Gymnasium
169,Höhere technische und gewerbliche Lehranstalt
170,Gymnasium
171,Gymnasium
172,Gymnasium
173,Gymnasium
174,Gymnasium
175,Gymnasium
176,Gymnasium
177,Höhere Lehranstalt für Tourismus
178,Gymnasium
179,Gymnasium
180,Gymnasium
181,Gymnasium
182,Gymnasium
183,Gymnasium
184,Höhere Lehranstalt für wirtschaftliche Berufe
185,Höhere Lehranstalt für wirtschaftliche Berufe
186,Gymnasium
187,Gymnasium
188,Gymnasium
189,Gymnasium
190,Gymnasium
191,Gymnasium
192,Gymnasium
193,Höhere Lehranstalt für wirtschaftliche Berufe
194,Höhere Lehranstalt für Tourismus
195,Gymnasium
196,Gymnasium
197,Höhere technische und gewerbliche Lehranstalt
198,Gymnasium
199,Höhere Lehranstalt für wirtschaftliche Berufe
200,Gymnasium
201,Gymnasium
202,Gymnasium
203,Gymnasium
204,Höhere Lehranstalt für Tourismus
205,Gymnasium
206,Höhere Lehranstalt für wirtschaftliche Berufe
207,Höhere Lehranstalt für wirtschaftliche Berufe
208,Höhere Lehranstalt für Tourismus
209,Gymnasium
210,Gymnasium
211,Höhere Lehranstalt für Tourismus
212,Gymnasium
213,Höhere Lehranstalt für wirtschaftliche Berufe
214,Gymnasium
215,Höhere Lehranstalt für Tourismus
216,Höhere technische und gewerbliche Lehranstalt
217,Gymnasium
218,Gymnasium
219,Gymnasium
220,Gymnasium
221,Gymnasium
222,Gymnasium
223,Höhere Lehranstalt für wirtschaftliche Berufe
224,Gymnasium
225,Gymnasium
226,Gymnasium
227,Gymnasium
228,Höhere Lehranstalt für Pflege und Sozialbetreuung
229,Gymnasium
230,Gymnasium
231,Gymnasium
232,Gymnasium
233,Gymnasium
234,Gymnasium
235,Gymnasium
236,Gymnasium
237,Gymnasium
238,Gymnasium
239,Gymnasium
240,Höhere technische und gewerbliche Lehranstalt
241,Gymnasium
242,Handelsakademie
243,Gymnasium
244,Gymnasium
245,Gymnasium
246,Gymnasium
247,Höhere Lehranstalt für Tourismus
248,Gymnasium
249,Gymnasium
250,Höhere technische und gewerbliche Lehranstalt
251,Höhere Lehranstalt für Land- und Forstwirtschaft
252,Gymnasium
253,Gymnasium
254,Gymnasium
255,Gymnasium
256,Gymnasium
257,Höhere Lehranstalt für Pflege und Sozialbetreuung
258,Gymnasium
259,Gymnasium
260,Gymnasium
261,Gymnasium
262,Gymnasium
263,Gymnasium
264,Gymnasium
265,Höhere Lehranstalt für Land- und Forstwirtschaft
266,Gymnasium
267,Gymnasium
268,Gymnasium
269,Höhere technische und gewerbliche Lehranstalt
270,Gymnasium
271,Gymnasium
272,Höhere Lehranstalt für wirtschaftliche Berufe
273,Gymnasium
274,Gymnasium
275,Gymnasium
276,Gymnasium
277,Gymnasium
278,Gymnasium
279,Gymnasium
280,Gymnasium
281,Gymnasium
282,Gymnasium
283,Höhere technische und gewerbliche Lehranstalt
284,Gymnasium
285,Höhere technische und gewerbliche Lehranstalt
286,Gymnasium
287,Höhere Lehranstalt für Tourismus
288,Gymnasium
289,Gymnasium
290,Gymnasium
291,Höhere Lehranstalt für wirtschaftliche Berufe
292,Gymnasium
293,Gymnasium
294,Gymnasium
295,Höhere Lehranstalt für Pflege und Sozialbetreuung
296,Höhere Lehranstalt für wirtschaftliche Berufe
297,Gymnasium
298,Höhere Lehranstalt für wirtschaftliche Berufe
299,Gymnasium
300,Höhere Lehranstalt für Pflege und Sozialbetreuung
